INDIVIDUALS	STRATA
ALB-M01	8
ALB-M02	8
ALB-M03	8
ALB-M04	8
ALB-M05	8
ALB-M06	8
ALB-M07	8
ALB-M08	8
ALB-M09	8
BAG-01	4
BAG-02	4
BAG-03	4
BAG-04	4
BAG-05	4
BAG-07	4
BAG-17	4
CRE-04	10
CRE-06	10
CRE-07	10
CRE-10	10
CRE-11	10
CRE-12	10
CRE-13	10
CRE-15	10
Hint-31	11
Hint-33	11
Hint-35	11
Hint-37	11
Hint-39	11
Hint-49	11
Hint-51	11
Hint-53	11
Hint-55	11
Hint-57	11
Hint-59	11
Hint-61	11
Hint-63	11
Hint-65	11
Hint-67	11
Hint-69	11
LDC-M01	7
LDC-M02	7
LDC-M03	7
LDC-M04	7
LDC-M05	7
LDC-M06	7
LDC-M07	7
LDC-M08	7
LDC-M09	7
LDC-M10	7
LDC-M11	7
LDC-M12	7
LDC-M13	7
LDC-M14	7
LDC-M15	7
LDS-M02	6
LDS-M03	6
LDS-M04	6
LDS-M05	6
LDS-M06	6
LDS-M07	6
MAG-01	5
MAG-04	5
MAG-05	5
MAG-06	5
MAG-08	5
MAG-09	5
MAG-10	5
MAG-11	5
PUA-03	8.5
PUA-05	8.5
PUA-08	8.5
PUA-09	8.5
PUA-10	8.5
PUA-11	8.5
PUA-12	8.5
PUA-13	8.5
PUA-15	8.5
PUA-17	8.5
ROS-01	1
ROS-03	1
ROS-04	1
ROS-05	1
ROS-06	1
ROS-07	1
ROS-08	1
SGI-M01	9
SGI-M02	9
SGI-M03	9
SGI-M04	9
SGI-M05	9
SGI-M06	9
SGI-M07	9
SGI-M08	9
SGI-M09	9
SGI-M10	9
SGI-M11	9
SLO-01	2
SLO-02	2
SLO-04	2
SLO-05	2
SLO-06	2
SLO-07	2
SLO-08	2
SLO-16	2
SLO-17	2
SSE1-M01	3
SSE1-M02	3
SSE1-M03	3
SSE1-M04	3
SSE2-M01	3
SSE2-M02	3
SSE2-M03	3
SSE2-M04	3
SSE2-M05	3
SSE2-M06	3
SSE2-M07	3
SSE2-M08	3
SSE2-M09	3
