INDIVIDUALS	STRATA
ALB_M01	8
ALB_M02	8
ALB_M03	8
ALB_M04	8
ALB_M05	8
ALB_M06	8
ALB_M07	8
ALB_M08	8
ALB_M09	8
BAG_01	4
BAG_02	4
BAG_03	4
BAG_04	4
BAG_05	4
BAG_07	4
BAG_17	4
CRE_04	10
CRE_06	10
CRE_07	10
CRE_10	10
CRE_11	10
CRE_12	10
CRE_13	10
CRE_15	10
Hint_31	11
Hint_33	11
Hint_35	11
Hint_37	11
Hint_39	11
Hint_49	11
Hint_51	11
Hint_53	11
Hint_55	11
Hint_57	11
Hint_59	11
Hint_61	11
Hint_63	11
Hint_65	11
Hint_67	11
Hint_69	11
LDC_M01	7
LDC_M02	7
LDC_M03	7
LDC_M04	7
LDC_M05	7
LDC_M06	7
LDC_M07	7
LDC_M08	7
LDC_M09	7
LDC_M10	7
LDC_M11	7
LDC_M12	7
LDC_M13	7
LDC_M14	7
LDC_M15	7
LDS_M01 6	
LDS_M02	6
LDS_M03	6
LDS_M04	6
LDS_M05	6
LDS_M06	6
LDS_M07	6
MAG_01	5
MAG_04	5
MAG_05	5
MAG_06	5
MAG_08	5
MAG_09	5
MAG_10	5
MAG_11	5
PUA_03	8.5
PUA_05	8.5
PUA_08	8.5
PUA_09	8.5
PUA_10	8.5
PUA_11	8.5
PUA_12	8.5
PUA_13	8.5
PUA_15	8.5
PUA_17	8.5
ROS_01	1
ROS_03	1
ROS_04	1
ROS_05	1
ROS_06	1
ROS_07	1
ROS_08	1
SGI_M01	9
SGI_M02	9
SGI_M03	9
SGI_M04	9
SGI_M05	9
SGI_M06	9
SGI_M07	9
SGI_M08	9
SGI_M09	9
SGI_M10	9
SGI_M11	9
SLO_01	2
SLO_02	2
SLO_04	2
SLO_05	2
SLO_06	2
SLO_07	2
SLO_08	2
SLO_16	2
SLO_17	2
SSE1_M01	3
SSE1_M02	3
SSE1_M03	3
SSE1_M04	3
SSE2_M01	3
SSE2_M02	3
SSE2_M03	3
SSE2_M04	3
SSE2_M05	3
SSE2_M06	3
SSE2_M07	3
SSE2_M08	3
SSE2_M09	3
